time_ms,command_angle,feedback_angle,current_mA
21155,20,20,114.80
21207,20,20,114.60
21259,20,21,88.20
21310,20,20,126.90
21362,20,20,110.40
21413,20,21,131.90
21464,20,21,129.10
21515,20,20,125.60
21566,20,20,121.60
21617,20,20,88.20
21668,20,21,113.50
21720,20,21,114.00
21772,20,20,113.80
21823,20,21,114.10
21874,20,20,114.50
21926,20,21,114.60
21978,20,21,104.50
22030,20,21,116.40
22081,20,20,92.40
22132,20,21,121.10
22184,20,21,117.00
22236,20,20,122.20
22287,20,21,122.50
22338,20,21,95.20
22389,20,21,122.60
22440,20,20,122.50
22492,20,21,125.60
22543,20,20,118.90
22595,20,21,123.70
22647,20,21,123.10
22698,20,20,92.90
22749,20,21,91.00
22800,20,20,118.60
22852,20,21,116.70
22904,20,21,116.70
22956,20,20,67.00
23007,20,20,116.40
23058,20,20,107.80
23109,20,20,114.30
23161,20,21,113.90
23213,20,21,109.80
23265,20,20,114.60
23316,20,20,114.40
23367,20,21,114.40
23419,20,20,88.20
23470,20,21,114.40
23521,20,21,88.00
23572,20,20,114.70
23623,20,21,110.40
23674,20,21,121.90
23726,20,21,118.40
23778,20,21,92.60
23829,20,20,118.30
23880,20,20,115.50
23931,20,22,109.80
23983,20,22,109.90
24035,20,20,113.70
24087,20,21,115.00
24138,20,20,115.00
24189,20,20,114.40
24242,20,21,115.00
24293,20,20,111.10
24344,20,20,112.50
24395,20,21,116.60
24447,20,21,116.50
24499,20,21,91.20
24550,20,21,114.10
24602,20,20,116.10
24654,20,21,118.90
24706,20,20,115.30
24758,20,21,116.50
24810,20,21,121.50
24861,20,20,93.60
24912,20,20,93.50
24963,20,21,77.50
25014,20,20,100.00
25066,20,21,130.40
25118,20,21,125.10
25170,20,20,129.90
25221,20,20,117.00
25272,20,20,126.80
25324,20,21,128.00
25375,20,20,124.70
25426,20,20,119.50
25477,20,20,118.70
25528,20,21,117.20
25579,20,21,117.00
25630,20,21,120.50
25682,20,21,105.60
25735,20,20,116.10
25787,20,20,116.00
25838,20,21,115.10
25889,20,21,120.40
25941,20,21,115.50
25993,20,21,90.90
26044,20,21,114.70
26096,20,20,119.50
26148,20,20,119.60
26199,20,20,89.70
26250,20,21,118.90
26302,20,21,114.40
26354,20,20,117.60
26406,20,21,112.80
26457,20,20,88.40
26508,20,20,110.40
26560,20,20,114.70
26611,20,21,109.80
26663,20,20,87.90
26714,20,21,109.10
26766,20,22,109.00
26818,20,21,109.70
26869,20,20,113.40
26920,20,21,109.70
26973,20,20,109.40
27025,20,20,113.40
27077,20,21,109.40
27128,20,20,109.80
27179,20,21,109.80
27230,20,20,114.00
27281,20,21,109.70
27332,20,21,114.20
27384,20,21,109.80
27436,20,21,110.20
27488,20,20,110.10
27539,20,21,110.10
27590,20,20,119.70
27642,20,20,114.30
27694,20,21,121.80
27746,20,20,122.20
27797,20,20,120.50
27848,20,21,114.50
27900,20,21,111.00
27953,20,21,91.30
28004,20,21,110.00
28056,20,21,117.20
28107,20,21,111.50
28159,20,21,110.80
28210,20,20,110.00
28261,20,21,109.60
28313,20,20,109.50
28365,20,21,109.50
28416,20,20,113.80
28467,20,20,110.10
28518,20,21,111.20
28569,20,21,110.00
28621,20,21,109.90
28673,20,20,110.00
28724,20,20,110.10
28775,20,21,87.90
28826,20,21,114.00
28877,20,20,110.10
28928,20,21,121.80
28979,20,21,110.80
29030,20,20,116.70
29082,20,21,95.10
29133,20,21,120.50
29184,20,21,111.40
29235,20,21,109.50
29287,20,21,109.50
29339,20,21,109.70
29390,20,20,111.30
29441,20,20,110.10
29492,20,21,110.10
29544,20,20,109.90
29596,20,21,110.00
29647,20,20,110.00
29698,20,21,113.80
29750,20,21,110.00
29801,20,20,110.10
29852,20,20,109.90
29904,20,21,109.90
29955,20,20,123.00
30006,20,20,117.90
30057,20,20,114.40
30108,20,21,112.60
30159,20,21,110.80
30210,20,21,109.50
30262,20,21,109.30
30314,20,20,109.40
30365,20,21,109.40
30416,20,21,109.70
30467,20,20,109.90
30518,20,20,109.90
30569,20,21,110.00
30620,20,20,109.80
30672,20,21,109.70
30724,20,21,109.60
30776,20,21,109.90
30827,20,21,110.20
30878,20,20,109.50
30930,20,20,109.70
30981,20,20,112.00
31032,20,21,111.80
31083,20,21,110.10
31135,20,20,110.50
31187,20,21,111.10
31239,20,21,113.00
31290,20,21,113.40
31342,20,21,115.60
31394,20,21,115.70
31446,20,21,116.70
31498,20,21,119.20
31549,20,20,120.50
31600,20,21,120.40
31651,20,20,118.10
31703,20,20,117.70
31755,20,21,118.00
31807,20,21,118.30
31858,20,21,117.60
31910,20,21,117.30
31962,20,21,117.30
32014,20,20,117.00
32065,20,21,116.60
32116,20,20,119.40
32167,20,21,113.20
32218,20,20,111.90
32269,20,20,110.30
32320,20,20,122.10
32372,20,20,121.70
32423,20,20,116.40
32474,20,20,110.60
32525,20,21,109.70
32576,20,21,109.60
32627,20,21,109.30
32678,20,20,109.40
32729,20,21,109.70
32781,20,21,109.80
32833,20,20,109.40
32885,20,21,109.40
32936,20,20,110.10
32988,20,20,111.50
33039,20,20,113.90
33090,20,20,115.50
