time_ms,command_angle,feedback_angle,current_mA
23824,20,21,84.80
23875,20,21,91.00
23926,20,21,84.90
23978,20,21,97.50
24029,20,20,92.20
24080,20,20,85.40
24131,20,20,93.10
24182,20,20,92.00
24234,20,21,84.40
24285,20,20,85.60
24336,20,20,91.40
24387,20,20,84.40
24438,20,21,84.80
24490,20,21,89.50
24541,20,20,85.00
24592,20,20,86.00
24643,20,21,88.00
24694,20,20,88.20
24746,20,20,89.80
24797,20,21,90.40
24848,20,20,84.50
24899,20,20,100.70
24951,20,21,94.60
25002,20,21,89.20
25053,20,20,96.70
25104,20,20,91.30
25155,20,21,87.40
25206,20,20,94.80
25258,20,20,67.40
25309,20,21,88.10
25360,20,21,93.90
25411,20,20,88.00
25462,20,20,88.30
25514,20,20,92.20
25565,20,20,85.90
25616,20,20,85.00
25667,20,21,86.50
25718,20,21,85.70
25770,20,21,84.80
25821,20,20,87.10
25872,20,20,88.90
25923,20,20,81.60
25974,20,21,93.60
26026,20,21,86.90
26077,20,20,84.50
26128,20,20,86.40
26179,20,20,90.10
26230,20,20,84.50
26282,20,20,84.70
26333,20,20,91.10
26384,20,20,81.40
26435,20,20,84.90
26487,20,20,91.20
26538,20,20,84.90
26589,20,21,85.20
26640,20,21,88.90
26691,20,21,86.60
26742,20,20,97.50
26794,20,20,89.10
26845,20,20,85.30
26896,20,20,92.20
26947,20,20,87.90
26998,20,20,84.20
27050,20,21,87.30
27101,20,20,64.20
27152,20,20,84.90
27203,20,20,87.10
27254,20,20,87.80
27306,20,20,84.80
27357,20,20,86.70
27408,20,20,87.00
27459,20,21,84.80
27510,20,20,68.00
27562,20,21,81.80
27613,20,20,88.80
27664,20,20,93.20
27715,20,20,85.60
27766,20,21,88.30
27818,20,21,94.10
27869,20,21,84.00
27920,20,20,84.40
27971,20,20,91.80
28022,20,20,84.20
28074,20,20,84.80
28125,20,21,91.40
28176,20,20,84.60
28227,20,20,85.00
28278,20,20,67.10
28330,20,20,84.80
28381,20,20,85.30
28432,20,20,89.60
28483,20,20,87.30
28534,20,20,97.40
28586,20,21,91.10
28637,20,20,85.10
28688,20,20,88.90
28739,20,20,90.90
28790,20,20,84.30
28842,20,20,84.70
28893,20,20,90.50
28944,20,20,84.40
28995,20,21,84.90
29047,20,20,90.40
29098,20,20,84.60
29149,20,21,81.30
29200,20,20,87.60
29251,20,20,87.00
29302,20,20,84.70
29354,20,20,85.70
29405,20,20,89.00
29456,20,20,85.80
29507,20,21,93.60
29558,20,20,92.30
29610,20,20,84.30
29661,20,20,62.80
29712,20,20,93.40
29763,20,20,84.20
29814,20,20,84.40
29866,20,21,90.90
29917,20,20,85.00
29968,20,21,84.60
30019,20,20,88.70
30070,20,20,84.70
30122,20,20,84.80
30173,20,21,91.00
30224,20,21,84.40
30275,20,20,97.60
30326,20,21,89.80
30378,20,20,85.40
30429,20,20,51.50
30480,20,20,63.80
30531,20,20,84.50
30582,20,20,67.70
30634,20,20,84.20
30685,20,20,84.50
30736,20,20,90.50
30787,20,20,84.50
30838,20,21,84.80
30890,20,20,90.10
30941,20,20,62.80
30992,20,21,84.80
31043,20,21,68.70
31094,20,20,84.30
31146,20,21,84.70
31197,20,20,91.10
31248,20,21,85.50
31299,20,20,68.40
31350,20,20,94.50
31402,20,20,62.70
31453,20,20,84.20
31504,20,20,86.30
31555,20,20,87.70
31606,20,20,81.10
31658,20,20,86.20
31709,20,21,88.50
31760,20,20,63.00
31811,20,20,85.90
31862,20,20,63.00
31914,20,21,84.70
31965,20,21,84.90
32016,20,20,84.50
32067,20,21,88.40
32118,20,21,96.80
32170,20,20,86.00
32221,20,20,84.60
32272,20,20,70.80
32323,20,20,82.40
32374,20,21,84.40
32426,20,20,86.60
32477,20,21,86.50
32528,20,20,84.10
32579,20,20,87.00
32630,20,21,87.00
32682,20,20,84.60
32733,20,21,87.90
32784,20,21,85.50
32835,20,20,84.60
32886,20,20,89.70
32938,20,20,84.60
32989,20,20,84.70
33040,20,21,95.40
33091,20,20,85.50
33142,160,20,467.20
33194,160,32,377.00
33245,160,43,477.30
33297,160,54,518.30
33349,160,67,518.90
33401,160,80,493.70
33453,160,92,505.80
33505,160,103,573.90
33557,160,108,680.00
33609,160,116,645.90
33661,160,123,650.70
33714,160,130,673.50
33766,160,135,695.70
33818,160,141,360.60
33870,160,156,319.30
33922,160,158,333.90
33974,160,147,291.40
34026,160,152,283.00
34078,160,144,273.70
34130,160,145,282.70
34183,160,144,279.00
34235,160,143,316.10
34287,160,144,277.40
34339,160,159,275.30
34391,160,158,259.80
34443,160,145,243.60
34495,160,146,244.40
34547,160,158,231.60
34599,160,158,230.40
34652,160,145,237.70
34704,160,145,233.80
34756,160,146,225.80
34808,160,149,233.10
34860,160,153,236.70
34912,160,146,226.00
34964,160,151,226.10
35016,160,158,236.20
35068,160,158,226.80
35121,160,146,226.10
35173,160,158,235.80
35225,160,150,225.80
35277,160,146,226.30
35329,160,159,235.70
35381,160,145,227.70
35433,160,146,225.50
35485,160,146,235.30
35537,160,158,222.50
35589,160,158,219.90
35641,160,144,269.10
35693,160,146,225.50
35745,160,158,219.60
35797,160,148,229.70
35849,160,153,226.60
35901,160,147,219.60
35953,160,146,229.20
36005,160,146,227.60
36057,160,146,219.80
36109,160,158,229.50
36161,160,158,225.80
36213,160,145,219.20
36266,160,146,229.60
36318,160,158,226.40
36370,160,146,219.40
36422,160,146,229.50
36474,160,157,221.60
36526,160,145,219.00
36578,160,146,229.00
36630,160,158,219.80
36682,160,159,224.60
36735,160,158,228.90
36787,160,158,219.40
36839,160,146,227.80
36891,160,158,225.60
36943,160,159,218.90
36995,160,146,229.20
37047,160,152,221.00
37099,160,145,218.80
37151,160,146,228.90
37203,160,158,219.30
37256,160,145,220.10
37308,160,146,228.50
37360,160,158,219.30
37412,160,158,223.90
37464,160,146,228.40
37516,160,158,232.80
37568,160,159,231.80
37620,160,145,252.00
37672,160,146,224.20
37725,160,146,237.70
37777,160,149,221.50
37829,160,158,222.50
37881,160,146,228.20
37933,160,146,228.90
37985,160,158,229.60
38037,160,158,241.50
38089,160,159,220.80
38141,160,158,240.80
38194,160,158,229.00
38246,160,159,229.20
38298,160,146,243.60
38350,160,158,220.50
38402,160,159,244.40
38454,160,146,219.60
38506,160,146,234.10
38558,160,158,227.80
38610,160,158,226.10
38663,160,147,240.20
38715,160,158,218.70
38767,160,159,242.60
38819,160,146,221.90
38871,160,149,229.80
38923,160,146,231.00
38975,160,153,219.80
39027,160,158,239.60
39079,160,146,219.30
39132,160,158,234.10
39184,160,159,228.30
39236,160,147,224.50
39288,160,146,234.80
39340,160,146,217.50
39392,160,158,233.00
39444,160,145,217.60
39496,160,154,231.50
39548,160,146,221.80
39601,160,146,226.30
39653,160,158,222.40
39705,160,146,224.70
39757,160,158,222.70
39809,160,146,220.40
39861,160,146,228.00
39913,160,145,217.10
39965,160,158,231.00
40017,160,157,216.20
40069,160,146,229.80
40121,160,158,216.70
40173,160,146,229.20
40225,160,158,217.00
40277,160,158,227.70
40329,160,146,217.80
40381,160,146,227.90
40433,160,146,217.00
40485,160,159,227.90
40537,160,145,217.60
40589,160,158,227.70
40641,160,146,217.70
40693,160,158,227.50
40746,160,147,217.70
40798,160,159,227.10
40850,160,159,217.40
40902,160,158,227.70
40954,160,158,217.50
41006,160,158,227.20
41058,160,146,218.10
41110,160,149,227.20
41162,160,146,217.30
41215,160,158,227.30
41267,160,146,217.70
41319,160,146,227.10
41371,160,145,217.40
41423,160,146,225.90
41475,160,146,218.50
41527,160,150,223.50
41579,160,158,220.20
41631,160,147,223.20
41683,160,159,220.20
41736,160,146,222.60
41788,160,160,220.20
41840,160,146,224.10
41892,160,146,219.40
41944,160,146,220.70
41996,160,158,223.20
42048,160,146,220.30
42100,160,145,223.70
42152,160,146,220.00
42205,160,159,222.50
42257,160,146,221.90
42309,160,158,213.30
42361,160,158,259.40
42413,160,145,217.40
42465,160,159,226.70
42517,160,146,216.70
42569,160,158,224.40
42621,160,158,238.90
42674,160,160,218.10
42726,160,149,227.60
42778,160,156,216.80
42830,160,158,221.40
42882,160,159,211.40
42934,160,145,221.10
42986,160,146,249.30
43038,160,159,220.80
43090,160,158,211.70
43143,160,145,254.80
43195,160,146,224.20
43247,160,146,217.50
43299,160,158,259.60
43351,160,146,211.70
43403,160,146,220.70
43455,160,158,216.70
43507,160,158,225.50
43559,160,151,213.80
43612,160,145,214.60
43664,160,145,258.80
43716,160,146,211.40
43768,160,159,226.20
43820,160,146,211.50
43872,160,158,220.40
43924,160,144,255.90
43976,160,145,237.70
44028,160,146,248.60
44081,160,147,206.20
44133,160,158,218.80
44185,160,146,237.30
44237,160,159,209.80
44289,160,146,215.30
44341,160,158,221.00
44393,160,155,212.90
44445,160,146,215.40
44497,160,158,207.10
44549,160,146,229.30
44601,160,146,203.40
44653,160,157,221.20
44705,160,158,207.00
44757,160,147,223.90
44809,160,158,210.90
44861,160,146,209.80
44913,160,158,206.10
44965,160,147,216.60
45017,160,158,197.90
45069,160,147,177.10
45121,160,159,196.90
45173,160,147,179.20
45226,160,158,185.70
45278,160,147,181.20
45330,160,150,186.80
45382,160,158,183.00
45434,160,153,185.30
45486,160,148,184.00
45538,160,158,180.40
45590,160,147,185.60
45642,160,159,178.70
45695,160,158,190.10
45747,160,158,175.80
45799,160,158,192.90
45851,160,147,175.00
45903,160,158,190.60
45955,20,144,445.90
46007,20,131,442.80
46059,20,116,539.40
46111,20,105,627.40
46163,20,97,619.10
46216,20,89,606.40
46268,20,81,566.70
46320,20,69,528.20
46371,20,58,508.70
46422,20,46,501.50
46473,20,35,489.90
46524,20,23,484.90
46576,20,20,75.90
46627,20,20,153.70
46678,20,22,137.30
46729,20,22,139.90
46780,20,20,142.10
46831,20,20,136.70
46882,20,20,117.30
46934,20,20,130.20
46985,20,21,124.40
47036,20,21,128.90
47087,20,21,130.80
47138,20,21,134.30
47190,20,20,126.70
47242,20,21,118.40
47294,20,22,134.60
47346,20,20,122.30
47397,20,20,108.80
47448,20,21,135.10
47499,20,21,119.90
47551,20,21,122.40
47603,20,20,134.40
47654,20,20,127.00
47705,20,21,119.90
47756,20,21,120.10
47808,20,21,129.10
47860,20,20,124.10
47911,20,22,119.90
47962,20,20,120.80
48013,20,21,125.10
48064,20,20,127.70
48115,20,20,120.70
48167,20,21,107.30
48220,20,20,123.20
48271,20,20,123.50
48322,20,21,120.30
48373,20,20,116.50
48424,20,20,116.40
48477,20,21,120.10
48529,20,21,123.50
48580,20,20,117.50
48631,20,21,116.70
48682,20,20,117.60
48733,20,21,119.30
48785,20,21,129.20
48837,20,20,127.00
48888,20,20,117.50
48939,20,21,115.80
48990,20,21,122.40
49041,20,20,123.20
49093,20,21,116.50
49145,20,20,115.80
49196,20,20,117.70
49247,20,21,119.80
49298,20,21,117.00
49350,20,20,116.40
49402,20,21,116.40
49453,20,20,121.30
49504,20,20,123.70
49555,20,20,116.60
49607,20,21,116.80
49659,20,20,116.40
49711,20,21,117.00
49762,20,20,123.80
49813,20,20,133.60
49865,20,21,115.80
49917,20,20,119.40
49970,20,21,113.50
50021,20,20,127.50
50072,20,21,128.90
50123,20,21,92.40
50175,20,21,113.10
50226,20,21,113.00
50277,20,21,114.30
50329,20,21,116.80
50380,20,20,123.40
50431,20,21,113.00
50482,20,21,108.50
50534,20,20,112.80
50586,20,21,88.40
50637,20,21,112.80
50689,20,20,88.90
50740,20,21,120.00
50791,20,20,119.00
50842,20,22,95.40
50893,20,21,112.80
50944,20,20,112.90
50995,20,20,116.40
51047,20,21,111.00
51099,20,21,112.90
51151,20,20,118.10
51202,20,21,124.20
51253,20,21,98.70
51304,20,21,117.30
51355,20,20,116.20
51406,20,21,108.20
51458,20,21,112.50
51510,20,20,112.30
51562,20,21,111.90
51614,20,21,112.00
51665,20,20,105.20
51717,20,21,88.10
51768,20,21,118.40
51819,20,21,115.80
51870,20,20,120.00
51921,20,21,115.60
51973,20,21,93.90
52024,20,21,91.80
52075,20,20,114.70
52126,20,21,109.20
52177,20,20,113.00
52228,20,21,115.00
52280,20,21,114.40
52332,20,20,92.80
52383,20,21,111.10
52434,20,21,109.10
52485,20,20,108.60
52536,20,21,108.20
52587,20,20,108.60
52639,20,22,108.40
52691,20,20,112.20
52743,20,21,108.40
52794,20,20,114.20
52845,20,21,113.20
52897,20,20,120.30
52949,20,20,116.20
53001,20,20,116.20
53053,20,20,118.70
53104,20,21,112.00
53155,20,21,110.60
53207,20,21,88.20
53258,20,21,109.00
53309,20,21,113.10
53360,20,21,109.10
53411,20,21,108.90
53462,20,20,113.30
53514,20,21,109.60
53566,20,21,109.60
53618,20,20,109.70
53669,20,21,109.60
53720,20,20,108.60
53771,20,20,112.90
53822,20,20,113.90
53874,20,21,113.30
53926,20,20,116.10
53978,20,21,116.70
54030,20,20,116.10
54081,20,20,112.90
54132,20,21,108.90
54184,20,20,109.10
54237,20,21,108.90
54289,20,21,109.00
54340,20,21,108.90
54391,20,21,109.00
54442,20,20,109.30
54493,20,22,109.00
54545,20,21,109.20
54596,20,21,109.10
54647,20,20,108.90
54699,20,20,111.40
54751,20,21,108.60
54803,20,20,110.30
54854,20,21,115.70
54905,20,20,115.50
54956,20,20,111.60
55007,20,22,115.50
55059,20,20,118.40
55111,20,21,120.50
55162,20,20,121.20
55213,20,21,116.80
55264,20,20,114.60
55316,20,20,112.80
55368,20,20,110.90
55419,20,21,109.50
55470,20,21,109.00
55521,20,20,109.30
55572,20,20,109.10
55623,20,21,109.50
55674,20,20,109.20
55725,20,20,108.90
55776,20,21,108.90
55827,20,22,114.40
55878,20,21,109.70
55930,20,20,109.80
55982,20,20,109.10
56034,20,21,111.90
56085,20,20,115.20
56136,20,20,116.70
56187,20,20,117.90
56239,20,20,115.00
56291,20,20,112.00
56342,20,20,109.40
56393,20,21,109.20
56445,20,20,109.00
56498,20,22,108.80
56549,20,20,109.10
56600,20,21,109.20
56651,20,20,109.10
56703,20,21,108.70
56755,20,20,110.20
56807,20,20,114.10
56858,20,20,116.30
56909,20,20,116.10
56960,20,20,82.20
57011,20,21,124.90
57063,20,20,125.40
57115,20,20,123.90
57166,20,21,118.60
57217,160,20,480.30
57269,160,27,402.60
57321,160,41,435.60
57373,160,52,531.00
57425,160,63,530.40
57477,160,77,513.80
57529,160,89,507.50
57581,160,101,545.50
57633,160,106,662.40
57685,160,112,640.50
57737,160,121,644.50
57789,160,128,646.00
57841,160,132,720.00
57893,160,140,413.60
57945,160,141,371.70
57997,160,142,338.80
58049,160,157,308.50
58101,160,144,280.10
58154,160,157,264.40
58206,160,145,253.70
58258,160,159,268.40
58310,160,145,260.40
58362,160,145,249.80
58414,160,158,259.20
58466,160,144,248.50
58518,160,158,250.10
58570,160,145,260.60
58623,160,146,244.20
58675,160,159,250.70
58727,160,147,260.80
58779,160,144,243.10
58831,160,148,249.20
58883,160,144,251.90
58935,160,158,244.40
58987,160,145,248.10
59039,160,157,255.20
59091,160,158,241.00
59144,160,145,267.10
59196,160,157,248.80
59248,160,145,243.60
59300,160,145,237.00
59352,160,158,248.00
59404,160,145,238.80
59456,160,145,239.00
59508,160,158,248.40
59560,160,145,238.10
59613,160,145,239.40
59665,160,158,248.20
59717,160,145,238.00
59769,160,145,239.10
59821,160,146,247.50
59873,160,159,238.40
59925,160,151,238.20
59977,160,158,247.40
60029,160,144,238.50
60082,160,159,238.70
60134,160,146,247.50
60186,160,145,237.60
60238,160,159,239.70
60290,160,146,247.50
60342,160,159,236.90
60394,160,158,195.70
60446,160,148,194.70
60498,160,146,185.50
60551,160,150,187.50
60603,160,147,194.60
60655,160,151,185.60
60707,160,146,190.60
60759,160,147,189.60
60811,160,158,176.00
60863,160,147,183.40
60915,160,158,173.20
60967,160,148,171.00
61020,160,158,178.80
61072,160,148,170.50
61124,160,158,171.30
61176,160,159,179.50
61228,160,148,170.60
61280,160,159,205.60
61332,160,153,168.80
61384,160,158,199.60
61436,160,159,179.00
61489,160,150,165.30
61541,160,157,168.00
61593,160,158,170.90
61645,160,146,199.70
61697,160,148,174.40
61749,160,158,165.40
61801,160,158,173.50
61853,160,147,165.40
61905,160,158,169.70
61957,160,159,165.80
62009,160,158,168.20
62061,160,148,168.20
62113,160,158,165.80
62165,160,158,170.90
62217,160,158,178.70
62269,160,160,173.60
62321,160,158,169.90
62373,160,158,188.70
62425,160,147,167.30
62477,160,148,189.20
62529,160,158,167.30
62581,160,147,188.30
62634,160,158,166.40
62686,160,151,188.10
62738,160,158,168.00
62790,160,148,184.50
62842,160,159,202.50
62894,160,158,175.90
62946,160,148,175.30
62998,160,159,169.50
63050,160,147,182.10
63103,160,158,160.80
63155,160,160,186.30
63207,160,147,195.10
63259,160,158,174.90
63311,160,148,165.60
63363,160,158,168.50
63415,160,157,170.90
63467,160,148,169.70
63519,160,158,168.90
63571,160,158,161.70
63624,160,148,170.80
63676,160,158,181.00
63728,160,147,195.20
63780,160,159,179.70
63832,160,147,192.20
63884,160,158,208.00
63936,160,147,219.70
63988,160,159,207.50
64040,160,158,181.80
64093,160,155,179.00
64145,160,147,176.60
64197,160,150,186.20
64249,160,158,174.20
64301,160,147,185.00
64353,160,148,173.10
64405,160,147,178.90
64457,160,158,181.80
64509,160,158,173.90
64562,160,147,185.00
64614,160,150,173.10
64666,160,157,184.00
64718,160,159,174.30
64770,160,147,177.30
64822,160,158,183.00
64874,160,159,154.70
64926,160,158,165.10
64978,160,148,155.00
65031,160,158,164.60
65083,160,148,154.40
65135,160,159,161.40
65187,160,149,154.70
65239,160,148,158.50
65291,160,154,161.90
65343,160,159,157.00
